reviewer;paper
Guido Sciavicco;Aspect ratio of radiation-hardened MOS transistors - Modelling of the equivalent channel dimensions of integrated MOS transistors in radiation-hardened enclosed layout.
Leifur Þ. Leifsson;Aspect ratio of radiation-hardened MOS transistors - Modelling of the equivalent channel dimensions of integrated MOS transistors in radiation-hardened enclosed layout.
David L. Buckeridge;Aspect ratio of radiation-hardened MOS transistors - Modelling of the equivalent channel dimensions of integrated MOS transistors in radiation-hardened enclosed layout.
Lazaros Nalpantidis;AC power measurements of electric drives: a method incorporating calorimetry and DC measurements only.
Fabrizio Montesi;AC power measurements of electric drives: a method incorporating calorimetry and DC measurements only.
Zhengyi Jiang;AC power measurements of electric drives: a method incorporating calorimetry and DC measurements only.
Sara Capecchi;Einfluss der Kühllochgeometrien sowie Einfluss von Strahlung und natürlicher Konvektion auf das Kühlverhalten von thermisch hoch beanspruchten Traktionsasynchronmaschinen.
Muhammet Baykara;Einfluss der Kühllochgeometrien sowie Einfluss von Strahlung und natürlicher Konvektion auf das Kühlverhalten von thermisch hoch beanspruchten Traktionsasynchronmaschinen.
Mark E. Campbell;Einfluss der Kühllochgeometrien sowie Einfluss von Strahlung und natürlicher Konvektion auf das Kühlverhalten von thermisch hoch beanspruchten Traktionsasynchronmaschinen.
Qin Zhang 0012;Analytical model for LLC resonant converters in operation below resonance.
Bernhard K. Aichernig;Analytical model for LLC resonant converters in operation below resonance.
Xhevahir Bajrami;Analytical model for LLC resonant converters in operation below resonance.
Morgan Jones;A netlist-level fault-injection tool for FPGAs.
Kari Mäki;A netlist-level fault-injection tool for FPGAs.
Mauricio Kischinhevsky;A netlist-level fault-injection tool for FPGAs.
Ravi Mathur;Erratum to: Analytische Ermittlung des Nutschlitzanteils der Wicklung-Rotor-Kapazität zur Vorausberechnung von Lagerspannungen in elektrischen Maschinen.
Ahmad Saeed;Erratum to: Analytische Ermittlung des Nutschlitzanteils der Wicklung-Rotor-Kapazität zur Vorausberechnung von Lagerspannungen in elektrischen Maschinen.
Seongil Hong;Erratum to: Analytische Ermittlung des Nutschlitzanteils der Wicklung-Rotor-Kapazität zur Vorausberechnung von Lagerspannungen in elektrischen Maschinen.
Roshanak Nilchiani;Detector development for particle physics.
Christian Colombo 0001;Detector development for particle physics.
Francisco Lera;Detector development for particle physics.
Samia Boukir;Erratum to: Analytische Ermittlung der Wicklung-Stator-Kapazität in elektrischen Maschinen zur Vorausberechnung des hochfrequenten Common-Mode-Stroms.
Ehrentraud Hager;Erratum to: Analytische Ermittlung der Wicklung-Stator-Kapazität in elektrischen Maschinen zur Vorausberechnung des hochfrequenten Common-Mode-Stroms.
Hans Hagen;Erratum to: Analytische Ermittlung der Wicklung-Stator-Kapazität in elektrischen Maschinen zur Vorausberechnung des hochfrequenten Common-Mode-Stroms.
Maike Schwammberger;Physische Sicherheit in der Mensch-Roboter Kollaboration.
Melvyn L. Smith;Physische Sicherheit in der Mensch-Roboter Kollaboration.
Stefano Roccella;Physische Sicherheit in der Mensch-Roboter Kollaboration.
Wentong Cai 0001;TSC - Triple Space Computing.
Robert Rand 0001;TSC - Triple Space Computing.
Frank Kirchner;TSC - Triple Space Computing.
Wenbin Li 0002;Thermal vacuum tests for the ESA's OPS-SAT mission.
Mario Hirz;Thermal vacuum tests for the ESA's OPS-SAT mission.
Jie Zhao 0003;Thermal vacuum tests for the ESA's OPS-SAT mission.
Yongsheng Luo;Advanced Balancing Services für Übertragungsnetzbetreiber.
Jelle Herold;Advanced Balancing Services für Übertragungsnetzbetreiber.
Slawomir Koziel;Advanced Balancing Services für Übertragungsnetzbetreiber.
Karl Reichard;Analytische Ermittlung des Nutschlitzanteils der Wicklung-Rotor-Kapazität zur Vorausberechnung von Lagerspannungen in elektrischen Maschinen.
William J. Phillips;Analytische Ermittlung des Nutschlitzanteils der Wicklung-Rotor-Kapazität zur Vorausberechnung von Lagerspannungen in elektrischen Maschinen.
Emanuel Peres;Analytische Ermittlung des Nutschlitzanteils der Wicklung-Rotor-Kapazität zur Vorausberechnung von Lagerspannungen in elektrischen Maschinen.
Fabio Fioravanti;Investigation on identifying structural modes by sound pressure signals.
Gamini Dissanayake;Investigation on identifying structural modes by sound pressure signals.
Bradley J. Nelson;Investigation on identifying structural modes by sound pressure signals.
Amir M. Ghalamzan E.;Vertical integration in distributed automation environment.
Parminder Kaur;Vertical integration in distributed automation environment.
Ahmet Alkan;Vertical integration in distributed automation environment.
Zhihua Hu;Konzepte und Entwurfsstrategien für integrierte Sensorsysteme.
Stephen Gilmore;Konzepte und Entwurfsstrategien für integrierte Sensorsysteme.
Sebastian A. Scherer;Konzepte und Entwurfsstrategien für integrierte Sensorsysteme.
Laura Lindzey;Security aspects of ubiquitous computing in healthcare.
Stefano Pastorelli;Security aspects of ubiquitous computing in healthcare.
Tao Song 0004;Security aspects of ubiquitous computing in healthcare.
Faten Chaieb;Methodik zur Entwicklung sicherer kollaborativer Produktionssysteme im Rahmen von Industrie 4.0.
Ross Hennessy;Methodik zur Entwicklung sicherer kollaborativer Produktionssysteme im Rahmen von Industrie 4.0.
Ziqian Zhang;Methodik zur Entwicklung sicherer kollaborativer Produktionssysteme im Rahmen von Industrie 4.0.
Philippe Gorce;Frequency dividers in radar target stimulator applications.
Aníbal Ollero;Frequency dividers in radar target stimulator applications.
Marius Grimm;Frequency dividers in radar target stimulator applications.
Massimo Caccia;Zur raum-zeitlichen Dynamik des Laufwasserkraftpotentials in Österreich.
Sebastian Zwickl-Bernhard;Zur raum-zeitlichen Dynamik des Laufwasserkraftpotentials in Österreich.
Yunhui Liu 0001;Zur raum-zeitlichen Dynamik des Laufwasserkraftpotentials in Österreich.
Bappaditya Debnath;A comparative study on Power Hardware-in-the-Loop-based emulation of a Brushless DC machine using advanced test bench.
Markus Zdrallek;A comparative study on Power Hardware-in-the-Loop-based emulation of a Brushless DC machine using advanced test bench.
Martin Parapatits;A comparative study on Power Hardware-in-the-Loop-based emulation of a Brushless DC machine using advanced test bench.
Meenakshi Kollati;Integration der Ladeinfrastruktur in das elektrische Energiesystem.
Michael Roland 0001;Integration der Ladeinfrastruktur in das elektrische Energiesystem.
Krzysztof Banas;Integration der Ladeinfrastruktur in das elektrische Energiesystem.
Lutz Hofmann;Modellierung der dynamischen Netzstützung von über Umrichter angebundenen Erzeugungsanlagen und Speichern.
James C. Kinsey;Modellierung der dynamischen Netzstützung von über Umrichter angebundenen Erzeugungsanlagen und Speichern.
Peter M. A. Sloot;Modellierung der dynamischen Netzstützung von über Umrichter angebundenen Erzeugungsanlagen und Speichern.
Tim C. Pearce;Optimierung einer sensorlos betriebenen Synchron-Reluktanz-Maschine hinsichtlich des Wirkungsgrades.
Marcel Lehr;Optimierung einer sensorlos betriebenen Synchron-Reluktanz-Maschine hinsichtlich des Wirkungsgrades.
Martin Parapatits;Optimierung einer sensorlos betriebenen Synchron-Reluktanz-Maschine hinsichtlich des Wirkungsgrades.
Alan Mycroft;Design of a user-oriented application for the exploration of medical datasets.
Johannes Knapitsch;Design of a user-oriented application for the exploration of medical datasets.
Luis Montano;Design of a user-oriented application for the exploration of medical datasets.
Geoffrey A. Hollinger;mm-Wellen RFID - Design und Implementierung eines Demonstrators.
François Pomerleau;mm-Wellen RFID - Design und Implementierung eines Demonstrators.
Peter Kastner;mm-Wellen RFID - Design und Implementierung eines Demonstrators.
Francisco P. Chavez;Robotik.
Yuki Sekimori;Robotik.
Martin Wiessflecker;Robotik.
Naoyuki Tamura;Hardware-in-the-Loop testing for low-inertia grids.
Tim C. Pearce;Hardware-in-the-Loop testing for low-inertia grids.
István Ulbert;Hardware-in-the-Loop testing for low-inertia grids.
Takashi Sakamaki;Two new heuristic approaches for optimal path calculation on occupancy grid map.
Martin Horauer;Two new heuristic approaches for optimal path calculation on occupancy grid map.
Markus Reichhartinger;Two new heuristic approaches for optimal path calculation on occupancy grid map.
Allan de Barros;Gleichspannung in der Netzinfrastruktur.
S. M. Riad Shams;Gleichspannung in der Netzinfrastruktur.
Bernhard Auinger;Gleichspannung in der Netzinfrastruktur.
Paul Backes;Zuverlässigkeit und Qualität.
Andreas Kugi;Zuverlässigkeit und Qualität.
Gregory S. Chirikjian;Zuverlässigkeit und Qualität.
Gunter Arnold;Numerische Analyse der Strömung am Eintritt des Luftspalts einer permanenterregten Synchronmaschine.
Minling Lai;Numerische Analyse der Strömung am Eintritt des Luftspalts einer permanenterregten Synchronmaschine.
Christian Colombo 0001;Numerische Analyse der Strömung am Eintritt des Luftspalts einer permanenterregten Synchronmaschine.
Evangelos Rikos;MEMS-based lidar for autonomous driving.
Stefan Thalhammer;MEMS-based lidar for autonomous driving.
Aravind Sundaresan;MEMS-based lidar for autonomous driving.
Durgesh Nandan;Test case generation in practice for communicating embedded systems.
Alois C. Knoll;Test case generation in practice for communicating embedded systems.
Shengjie Zhao;Test case generation in practice for communicating embedded systems.
Catalin-Cosmin Glava;Vergleichende EMV-Untersuchungen auf Geräte- und IC-Ebene.
Javier Ibañez-Guzmán;Vergleichende EMV-Untersuchungen auf Geräte- und IC-Ebene.
Ilaria Castellani;Vergleichende EMV-Untersuchungen auf Geräte- und IC-Ebene.
Joe Pitt-Francis;Comparison of the usability and security of NFC's different operating modes in mobile devices.
Allaa R. Hilal;Comparison of the usability and security of NFC's different operating modes in mobile devices.
Gary A. Atkinson;Comparison of the usability and security of NFC's different operating modes in mobile devices.
Tyson Govan Phillips;Spatio-temporal charging model for the identification of bottlenecks in planned highway charging infrastructure for passenger BEVs.
Fabio T. Ramos 0001;Spatio-temporal charging model for the identification of bottlenecks in planned highway charging infrastructure for passenger BEVs.
Paolo Dario;Spatio-temporal charging model for the identification of bottlenecks in planned highway charging infrastructure for passenger BEVs.
John van de Wetering;Audio-visual networks and the road to 5G - On standardization, role models and spectrum access.
Robert Schürhuber;Audio-visual networks and the road to 5G - On standardization, role models and spectrum access.
Robin R. Murphy;Audio-visual networks and the road to 5G - On standardization, role models and spectrum access.
Mahnaz Fatemi Aqda;Botnets causing blackouts: how coordinated load attacks can destabilize the power grid.
F. V. Conte;Botnets causing blackouts: how coordinated load attacks can destabilize the power grid.
Christian Schwarzl;Botnets causing blackouts: how coordinated load attacks can destabilize the power grid.
Jean-Christophe Zufferey;Investigation of permanent magnet synchronous machines with buried magnets and carbon fiber sleeve for automotive application.
Karim Djouani;Investigation of permanent magnet synchronous machines with buried magnets and carbon fiber sleeve for automotive application.
Q. M. Jonathan Wu;Investigation of permanent magnet synchronous machines with buried magnets and carbon fiber sleeve for automotive application.
Tomás Krajník;Effizienzsteigerung durch die und in der Magnetlagertechnik.
Gerald Steinmaurer;Effizienzsteigerung durch die und in der Magnetlagertechnik.
Kanumalli Satya Sandeep;Effizienzsteigerung durch die und in der Magnetlagertechnik.
Raj Madhavan 0001;An efficient passive RFID system for ubiquitous identification and sensing using impulse UWB radio.
Ansar-Ul-Haque Yasar;An efficient passive RFID system for ubiquitous identification and sensing using impulse UWB radio.
Enric Galceran;An efficient passive RFID system for ubiquitous identification and sensing using impulse UWB radio.
